2026-05-03 01:24:09 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Started ===
2026-05-03 01:24:17 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Clicking the login link in the header menu
2026-05-03 01:24:19 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Finished ===
2026-05-03 01:24:19 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Started ===
2026-05-03 01:24:24 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Clicking the login link in the header menu
2026-05-03 01:24:26 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Finished ===
2026-05-03 01:24:26 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Started ===
2026-05-03 01:24:30 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Clicking the login link in the header menu
2026-05-03 01:24:32 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Finished ===
2026-05-03 01:24:32 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Started ===
2026-05-03 01:24:37 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Clicking the login link in the header menu
2026-05-03 01:24:40 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Checking if login was successful by verifying the account link text
2026-05-03 01:24:40 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Finished ===
2026-05-03 01:24:40 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Started ===
2026-05-03 01:24:45 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Clicking the login link in the header menu
2026-05-03 01:24:47 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Checking if login was successful by verifying the account link text
2026-05-03 01:24:47 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Finished ===
2026-05-03 01:24:47 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Started ===
2026-05-03 01:24:52 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Clicking the login link in the header menu
2026-05-03 01:24:54 INFO  com.wilsonmanaog.automation.components.HeaderMenuSection - Checking if login was successful by verifying the account link text
2026-05-03 01:24:54 INFO  com.wilsonmanaog.automation.base.BaseTest - === Test Finished ===
